ALGORITHM,START,END,TYPE,COMPANY,ERROR
CNN,2010-06-01,2015-06-01,RMSE,AAPL,1.122192202507109
CNN,2010-06-01,2015-06-01,MAPE,AAPL,0.03165040461229312
CNN,2011-01-01,2016-01-01,RMSE,AAPL,0.4972732398744888
CNN,2011-01-01,2016-01-01,MAPE,AAPL,0.014072437991636945
CNN,2011-06-01,2016-06-01,RMSE,AAPL,0.3979986896661217
CNN,2011-06-01,2016-06-01,MAPE,AAPL,0.010624769360189348
CNN,2012-01-01,2017-01-01,RMSE,AAPL,0.45070073195146365
CNN,2012-01-01,2017-01-01,MAPE,AAPL,0.00826223815354439
CNN,2012-06-01,2017-06-01,RMSE,AAPL,1.0445096879046574
CNN,2012-06-01,2017-06-01,MAPE,AAPL,0.019081186859026173
CNN,2013-01-01,2018-01-01,RMSE,AAPL,1.4978728268721204
CNN,2013-01-01,2018-01-01,MAPE,AAPL,0.025646770885320105
CNN,2013-06-01,2018-06-01,RMSE,AAPL,1.5481874527292627
CNN,2013-06-01,2018-06-01,MAPE,AAPL,0.026048525624629122
CNN,2014-01-01,2019-01-01,RMSE,AAPL,1.0881532035385464
CNN,2014-01-01,2019-01-01,MAPE,AAPL,0.015773690725122927
CNN,2014-06-01,2019-06-01,RMSE,AAPL,1.8932621108051173
CNN,2014-06-01,2019-06-01,MAPE,AAPL,0.018504737041556783
CNN,2010-06-01,2015-06-01,RMSE,AMZN,45.30775161519032
CNN,2010-06-01,2015-06-01,MAPE,AMZN,0.06834831925539783
CNN,2011-01-01,2016-01-01,RMSE,AMZN,19.045680937058044
CNN,2011-01-01,2016-01-01,MAPE,AMZN,0.02146268873063015
CNN,2011-06-01,2016-06-01,RMSE,AMZN,17.98606296975106
CNN,2011-06-01,2016-06-01,MAPE,AMZN,0.018888594156933856
CNN,2012-01-01,2017-01-01,RMSE,AMZN,52.58435613278762
CNN,2012-01-01,2017-01-01,MAPE,AMZN,0.04415811870749327
CNN,2012-06-01,2017-06-01,RMSE,AMZN,36.55003479356193
CNN,2012-06-01,2017-06-01,MAPE,AMZN,0.019684872191735266
CNN,2013-01-01,2018-01-01,RMSE,AMZN,68.97286583602643
CNN,2013-01-01,2018-01-01,MAPE,AMZN,0.03475390612902056
CNN,2013-06-01,2018-06-01,RMSE,AMZN,72.17603086916601
CNN,2013-06-01,2018-06-01,MAPE,AMZN,0.0317909772912973
CNN,2014-01-01,2019-01-01,RMSE,AMZN,77.93719162849328
CNN,2014-01-01,2019-01-01,MAPE,AMZN,0.03563677462257531
CNN,2014-06-01,2019-06-01,RMSE,AMZN,83.92643486691503
CNN,2014-06-01,2019-06-01,MAPE,AMZN,0.03135651376098765
CNN,2010-06-01,2015-06-01,RMSE,FB,4.95886851247651
CNN,2010-06-01,2015-06-01,MAPE,FB,0.04124216925496661
CNN,2011-01-01,2016-01-01,RMSE,FB,4.7931529754647455
CNN,2011-01-01,2016-01-01,MAPE,FB,0.03615711025059371
CNN,2011-06-01,2016-06-01,RMSE,FB,2.02522730505773
CNN,2011-06-01,2016-06-01,MAPE,FB,0.011279187457504378
CNN,2012-01-01,2017-01-01,RMSE,FB,5.067823712495741
CNN,2012-01-01,2017-01-01,MAPE,FB,0.026897237056002967
CNN,2012-06-01,2017-06-01,RMSE,FB,5.253128552083258
CNN,2012-06-01,2017-06-01,MAPE,FB,0.021564790241477887
CNN,2013-01-01,2018-01-01,RMSE,FB,7.4710636427062775
CNN,2013-01-01,2018-01-01,MAPE,FB,0.03465493671289041
CNN,2013-06-01,2018-06-01,RMSE,FB,7.631315090897119
CNN,2013-06-01,2018-06-01,MAPE,FB,0.03409870223502853
CNN,2014-01-01,2019-01-01,RMSE,FB,6.9493978808055905
CNN,2014-01-01,2019-01-01,MAPE,FB,0.030416235765743267
CNN,2014-06-01,2019-06-01,RMSE,FB,6.901944985789969
CNN,2014-06-01,2019-06-01,MAPE,FB,0.025687040175625224
CNN,2010-06-01,2015-06-01,RMSE,GOOG,16.008874376501044
CNN,2010-06-01,2015-06-01,MAPE,GOOG,0.015441913077377023
CNN,2011-01-01,2016-01-01,RMSE,GOOG,11.630731825250264
CNN,2011-01-01,2016-01-01,MAPE,GOOG,0.012303068455419586
CNN,2011-06-01,2016-06-01,RMSE,GOOG,7.96527479919857
CNN,2011-06-01,2016-06-01,MAPE,GOOG,0.007249920069927257
CNN,2012-01-01,2017-01-01,RMSE,GOOG,18.660406346780565
CNN,2012-01-01,2017-01-01,MAPE,GOOG,0.016870419519020123
CNN,2012-06-01,2017-06-01,RMSE,GOOG,47.514123699904914
