ALGORITHM,START,END,TYPE,COMPANY,ERROR
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,0.03936597140835588
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,3.5659642051621923
