ALGORITHM,START,END,TYPE,COMPANY,ERROR
CNN-LSTM,2010-06-01,2015-06-01,RMSE,AAPL,0.5044118196217827
CNN-LSTM,2010-06-01,2015-06-01,MAPE,AAPL,2.207542061119144
CNN-LSTM,2011-01-01,2016-01-01,RMSE,AAPL,0.3030369193164372
CNN-LSTM,2011-01-01,2016-01-01,MAPE,AAPL,4.340439801665937
CNN-LSTM,2011-06-01,2016-06-01,RMSE,AAPL,0.2617059752058372
CNN-LSTM,2011-06-01,2016-06-01,MAPE,AAPL,3.582866645791226
CNN-LSTM,2012-01-01,2017-01-01,RMSE,AAPL,0.3478747270046652
CNN-LSTM,2012-01-01,2017-01-01,MAPE,AAPL,1.8995004056723745
CNN-LSTM,2012-06-01,2017-06-01,RMSE,AAPL,0.43147937858417557
CNN-LSTM,2012-06-01,2017-06-01,MAPE,AAPL,1.4427652823938992
CNN-LSTM,2013-01-01,2018-01-01,RMSE,AAPL,0.6238757792375136
CNN-LSTM,2013-01-01,2018-01-01,MAPE,AAPL,1.752983594561787
CNN-LSTM,2013-06-01,2018-06-01,RMSE,AAPL,0.671271963828831
CNN-LSTM,2013-06-01,2018-06-01,MAPE,AAPL,2.6624903236441693
CNN-LSTM,2014-01-01,2019-01-01,RMSE,AAPL,0.6436172490261484
CNN-LSTM,2014-01-01,2019-01-01,MAPE,AAPL,2.6707250933999753
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AAPL,1.3809206316132427
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AAPL,1.900757114076445
CNN-LSTM,2010-06-01,2015-06-01,RMSE,AMZN,12.298600083757648
CNN-LSTM,2010-06-01,2015-06-01,MAPE,AMZN,1.5479552972305068
CNN-LSTM,2011-01-01,2016-01-01,RMSE,AMZN,10.061594234091102
CNN-LSTM,2011-01-01,2016-01-01,MAPE,AMZN,3.0790753678577008
CNN-LSTM,2011-06-01,2016-06-01,RMSE,AMZN,7.85902324967449
CNN-LSTM,2011-06-01,2016-06-01,MAPE,AMZN,4.122566789212194
CNN-LSTM,2012-01-01,2017-01-01,RMSE,AMZN,10.554738595597213
CNN-LSTM,2012-01-01,2017-01-01,MAPE,AMZN,2.336038046051583
CNN-LSTM,2012-06-01,2017-06-01,RMSE,AMZN,20.713879224509316
CNN-LSTM,2012-06-01,2017-06-01,MAPE,AMZN,1.3675751131747644
CNN-LSTM,2013-01-01,2018-01-01,RMSE,AMZN,35.00575950688241
CNN-LSTM,2013-01-01,2018-01-01,MAPE,AMZN,1.9349663723048796
CNN-LSTM,2013-06-01,2018-06-01,RMSE,AMZN,31.56689287484848
CNN-LSTM,2013-06-01,2018-06-01,MAPE,AMZN,1.6882193213107533
CNN-LSTM,2014-01-01,2019-01-01,RMSE,AMZN,21.000470827691256
CNN-LSTM,2014-01-01,2019-01-01,MAPE,AMZN,1.4140435160646636
CNN-LSTM,2014-06-01,2019-06-01,RMSE,AMZN,34.657623764408136
CNN-LSTM,2014-06-01,2019-06-01,MAPE,AMZN,1.3648112210879029
CNN-LSTM,2010-06-01,2015-06-01,RMSE,FB,2.099132365122829
CNN-LSTM,2010-06-01,2015-06-01,MAPE,FB,2.4078121472971588
CNN-LSTM,2011-01-01,2016-01-01,RMSE,FB,1.6977720031059684
CNN-LSTM,2011-01-01,2016-01-01,MAPE,FB,3.3596375460145897
CNN-LSTM,2011-06-01,2016-06-01,RMSE,FB,1.0346406581630674
CNN-LSTM,2011-06-01,2016-06-01,MAPE,FB,2.0039877304471823
CNN-LSTM,2012-01-01,2017-01-01,RMSE,FB,1.381695339311898
CNN-LSTM,2012-01-01,2017-01-01,MAPE,FB,4.291510155261923
CNN-LSTM,2012-06-01,2017-06-01,RMSE,FB,2.3219831476268187
CNN-LSTM,2012-06-01,2017-06-01,MAPE,FB,3.610172618332425
CNN-LSTM,2013-01-01,2018-01-01,RMSE,FB,4.254111357173757
CNN-LSTM,2013-01-01,2018-01-01,MAPE,FB,2.0160121309660837
CNN-LSTM,2013-06-01,2018-06-01,RMSE,FB,4.583903740939233
CNN-LSTM,2013-06-01,2018-06-01,MAPE,FB,1.5889279878282745
CNN-LSTM,2014-01-01,2019-01-01,RMSE,FB,2.5680451268875033
CNN-LSTM,2014-01-01,2019-01-01,MAPE,FB,16.4429605054548
CNN-LSTM,2014-06-01,2019-06-01,RMSE,FB,3.6925975765754173
CNN-LSTM,2014-06-01,2019-06-01,MAPE,FB,17.383477142830287
CNN-LSTM,2010-06-01,2015-06-01,RMSE,GOOG,12.273057584594781
CNN-LSTM,2010-06-01,2015-06-01,MAPE,GOOG,11.800433639641707
CNN-LSTM,2011-01-01,2016-01-01,RMSE,GOOG,7.350418167947746
CNN-LSTM,2011-01-01,2016-01-01,MAPE,GOOG,1.7938401170752285
CNN-LSTM,2011-06-01,2016-06-01,RMSE,GOOG,6.448214202825059
CNN-LSTM,2011-06-01,2016-06-01,MAPE,GOOG,2.735498000649332
CNN-LSTM,2012-01-01,2017-01-01,RMSE,GOOG,7.0069347552418515
CNN-LSTM,2012-01-01,2017-01-01,MAPE,GOOG,2.404439599534009
CNN-LSTM,2012-06-01,2017-06-01,RMSE,GOOG,10.951454195403068
CNN-LSTM,2012-06-01,2017-06-01,MAPE,GOOG,1.6566132455599318
CNN-LSTM,2013-01-01,2018-01-01,RMSE,GOOG,15.32982273909606
CNN-LSTM,2013-01-01,2018-01-01,MAPE,GOOG,1.2755157357313296
CNN-LSTM,2013-06-01,2018-06-01,RMSE,GOOG,15.963066958527017
CNN-LSTM,2013-06-01,2018-06-01,MAPE,GOOG,1.2378967655996649
CNN-LSTM,2014-01-01,2019-01-01,RMSE,GOOG,14.371270971473232
CNN-LSTM,2014-01-01,2019-01-01,MAPE,GOOG,1.8174441959383714
CNN-LSTM,2014-06-01,2019-06-01,RMSE,GOOG,22.927560726291997
CNN-LSTM,2014-06-01,2019-06-01,MAPE,GOOG,1.515645650099497
CNN-LSTM,2010-06-01,2015-06-01,RMSE,MSFT,0.705520370384461
CNN-LSTM,2010-06-01,2015-06-01,MAPE,MSFT,1.4798311941337272
CNN-LSTM,2011-01-01,2016-01-01,RMSE,MSFT,0.6426191268086484
CNN-LSTM,2011-01-01,2016-01-01,MAPE,MSFT,2.8158727855599484
CNN-LSTM,2011-06-01,2016-06-01,RMSE,MSFT,0.5196744841122879
CNN-LSTM,2011-06-01,2016-06-01,MAPE,MSFT,4.095401961015236
CNN-LSTM,2012-01-01,2017-01-01,RMSE,MSFT,0.5357903087992855
CNN-LSTM,2012-01-01,2017-01-01,MAPE,MSFT,3.3611633431809764
CNN-LSTM,2012-06-01,2017-06-01,RMSE,MSFT,0.9245403951112408
CNN-LSTM,2012-06-01,2017-06-01,MAPE,MSFT,2.4453160988138394
CNN-LSTM,2013-01-01,2018-01-01,RMSE,MSFT,1.3078585593158978
CNN-LSTM,2013-01-01,2018-01-01,MAPE,MSFT,1.2578454047363614
CNN-LSTM,2013-06-01,2018-06-01,RMSE,MSFT,1.2760640087705188
CNN-LSTM,2013-06-01,2018-06-01,MAPE,MSFT,1.3766328775358092
CNN-LSTM,2014-01-01,2019-01-01,RMSE,MSFT,1.2967887014358948
CNN-LSTM,2014-01-01,2019-01-01,MAPE,MSFT,3.043468326006033
CNN-LSTM,2014-06-01,2019-06-01,RMSE,MSFT,2.922340519620435
CNN-LSTM,2014-06-01,2019-06-01,MAPE,MSFT,41.111979699195615
