ALGORITHM,START,END,TYPE,COMPANY,ERROR
CNN,2010-06-01,2015-06-01,RMSE,AAPL,0.5094828829015237
CNN,2010-06-01,2015-06-01,MAPE,AAPL,2.0572883800466535
CNN,2011-01-01,2016-01-01,RMSE,AAPL,0.2902600386025773
CNN,2011-01-01,2016-01-01,MAPE,AAPL,4.741309391476657
CNN,2011-06-01,2016-06-01,RMSE,AAPL,0.25273580972596477
CNN,2011-06-01,2016-06-01,MAPE,AAPL,2.5473928984396377
CNN,2012-01-01,2017-01-01,RMSE,AAPL,0.3306814951564375
CNN,2012-01-01,2017-01-01,MAPE,AAPL,1.6235091190958184
CNN,2012-06-01,2017-06-01,RMSE,AAPL,0.4158394453801593
CNN,2012-06-01,2017-06-01,MAPE,AAPL,1.6985467524809579
CNN,2013-01-01,2018-01-01,RMSE,AAPL,0.6392909032343337
CNN,2013-01-01,2018-01-01,MAPE,AAPL,1.2915277528489286
CNN,2013-06-01,2018-06-01,RMSE,AAPL,0.7007588239613218
CNN,2013-06-01,2018-06-01,MAPE,AAPL,3.580464990111405
CNN,2014-01-01,2019-01-01,RMSE,AAPL,0.6011266690263181
CNN,2014-01-01,2019-01-01,MAPE,AAPL,2.2294360774882103
CNN,2014-06-01,2019-06-01,RMSE,AAPL,1.4279495475528883
CNN,2014-06-01,2019-06-01,MAPE,AAPL,1.7453266802753842
CNN,2010-06-01,2015-06-01,RMSE,AMZN,12.020504621596872
CNN,2010-06-01,2015-06-01,MAPE,AMZN,1.297003682158274
CNN,2011-01-01,2016-01-01,RMSE,AMZN,9.804409148682424
CNN,2011-01-01,2016-01-01,MAPE,AMZN,1.8918390667168692
CNN,2011-06-01,2016-06-01,RMSE,AMZN,7.277758890323884
CNN,2011-06-01,2016-06-01,MAPE,AMZN,2.158335823584023
CNN,2012-01-01,2017-01-01,RMSE,AMZN,10.639213881146597
CNN,2012-01-01,2017-01-01,MAPE,AMZN,1.9197764102680586
CNN,2012-06-01,2017-06-01,RMSE,AMZN,21.439544593164502
CNN,2012-06-01,2017-06-01,MAPE,AMZN,2.5060093867728823
CNN,2013-01-01,2018-01-01,RMSE,AMZN,32.916179371828804
CNN,2013-01-01,2018-01-01,MAPE,AMZN,3.1086074429188515
CNN,2013-06-01,2018-06-01,RMSE,AMZN,32.61576201021354
