ALGORITHM,START,END,TYPE,COMPANY,ERROR
LSTM,2010-06-01,2015-06-01,RMSE,AAPL,0.43805676946532235
LSTM,2010-06-01,2015-06-01,MAPE,AAPL,1.6630533723817966
LSTM,2011-01-01,2016-01-01,RMSE,AAPL,0.37423893888912796
LSTM,2011-01-01,2016-01-01,MAPE,AAPL,1.6090532697805489
LSTM,2011-06-01,2016-06-01,RMSE,AAPL,0.35431990376184364
LSTM,2011-06-01,2016-06-01,MAPE,AAPL,1.214754654095389
LSTM,2012-01-01,2017-01-01,RMSE,AAPL,0.45653323921713745
LSTM,2012-01-01,2017-01-01,MAPE,AAPL,1.0530632398418736
LSTM,2012-06-01,2017-06-01,RMSE,AAPL,0.6121457502860197
LSTM,2012-06-01,2017-06-01,MAPE,AAPL,1.0777561506541509
LSTM,2013-01-01,2018-01-01,RMSE,AAPL,0.8583473743650546
LSTM,2013-01-01,2018-01-01,MAPE,AAPL,1.102080212804433
LSTM,2013-06-01,2018-06-01,RMSE,AAPL,0.8783778427095978
LSTM,2013-06-01,2018-06-01,MAPE,AAPL,1.1593090894887401
LSTM,2014-01-01,2019-01-01,RMSE,AAPL,0.5349045620721277
LSTM,2014-01-01,2019-01-01,MAPE,AAPL,4.379651866945511
LSTM,2014-06-01,2019-06-01,RMSE,AAPL,1.3752479192241158
LSTM,2014-06-01,2019-06-01,MAPE,AAPL,1.9983149665537325
LSTM,2010-06-01,2015-06-01,RMSE,AMZN,14.415051127475955
LSTM,2010-06-01,2015-06-01,MAPE,AMZN,1.0400396601516477
LSTM,2011-01-01,2016-01-01,RMSE,AMZN,10.484206656787984
LSTM,2011-01-01,2016-01-01,MAPE,AMZN,1.8565372551482835
LSTM,2011-06-01,2016-06-01,RMSE,AMZN,9.855986919292548
LSTM,2011-06-01,2016-06-01,MAPE,AMZN,1.1996420279146924
LSTM,2012-01-01,2017-01-01,RMSE,AMZN,13.23265052311648
LSTM,2012-01-01,2017-01-01,MAPE,AMZN,1.0348296161787618
LSTM,2012-06-01,2017-06-01,RMSE,AMZN,25.36004656402856
LSTM,2012-06-01,2017-06-01,MAPE,AMZN,1.1396847080853096
LSTM,2013-01-01,2018-01-01,RMSE,AMZN,41.04870893453356
LSTM,2013-01-01,2018-01-01,MAPE,AMZN,1.1900523847041173
LSTM,2013-06-01,2018-06-01,RMSE,AMZN,39.62789387044834
LSTM,2013-06-01,2018-06-01,MAPE,AMZN,1.0729026660960388
LSTM,2014-01-01,2019-01-01,RMSE,AMZN,23.93628111118526
LSTM,2014-01-01,2019-01-01,MAPE,AMZN,1.038137370529622
LSTM,2014-06-01,2019-06-01,RMSE,AMZN,42.36249882012882
LSTM,2014-06-01,2019-06-01,MAPE,AMZN,1.021741972419544
LSTM,2010-06-01,2015-06-01,RMSE,FB,1.7703931152268009
LSTM,2010-06-01,2015-06-01,MAPE,FB,2.030476366986986
LSTM,2011-01-01,2016-01-01,RMSE,FB,1.7711385033250233
LSTM,2011-01-01,2016-01-01,MAPE,FB,1.4415445490918264
LSTM,2011-06-01,2016-06-01,RMSE,FB,1.5038032273142061
LSTM,2011-06-01,2016-06-01,MAPE,FB,1.6766341080181115
LSTM,2012-01-01,2017-01-01,RMSE,FB,1.827676510155385
LSTM,2012-01-01,2017-01-01,MAPE,FB,1.267748551610147
LSTM,2012-06-01,2017-06-01,RMSE,FB,2.918993435413666
LSTM,2012-06-01,2017-06-01,MAPE,FB,1.5757139131062585
LSTM,2013-01-01,2018-01-01,RMSE,FB,4.563226993088881
LSTM,2013-01-01,2018-01-01,MAPE,FB,1.0381636537985104
LSTM,2013-06-01,2018-06-01,RMSE,FB,4.528182526339385
LSTM,2013-06-01,2018-06-01,MAPE,FB,0.9990205012397366
LSTM,2014-01-01,2019-01-01,RMSE,FB,3.0547150221788484
LSTM,2014-01-01,2019-01-01,MAPE,FB,2.608555718809405
LSTM,2014-06-01,2019-06-01,RMSE,FB,4.330209821423363
LSTM,2014-06-01,2019-06-01,MAPE,FB,1.1706779637348488
LSTM,2010-06-01,2015-06-01,RMSE,GOOG,14.570113396717302
LSTM,2010-06-01,2015-06-01,MAPE,GOOG,1.015798777382729
LSTM,2011-01-01,2016-01-01,RMSE,GOOG,8.223475050525149
LSTM,2011-01-01,2016-01-01,MAPE,GOOG,1.4475126652983428
LSTM,2011-06-01,2016-06-01,RMSE,GOOG,7.862862339085124
LSTM,2011-06-01,2016-06-01,MAPE,GOOG,1.0428161078277394
LSTM,2012-01-01,2017-01-01,RMSE,GOOG,9.143881962940814
LSTM,2012-01-01,2017-01-01,MAPE,GOOG,1.233701518319856
LSTM,2012-06-01,2017-06-01,RMSE,GOOG,15.435726020649943
LSTM,2012-06-01,2017-06-01,MAPE,GOOG,1.0905947875137818
LSTM,2013-01-01,2018-01-01,RMSE,GOOG,20.962341070707428
LSTM,2013-01-01,2018-01-01,MAPE,GOOG,1.0347525313984767
LSTM,2013-06-01,2018-06-01,RMSE,GOOG,20.33402829145868
LSTM,2013-06-01,2018-06-01,MAPE,GOOG,1.0007650045023346
LSTM,2014-01-01,2019-01-01,RMSE,GOOG,11.895003784369525
LSTM,2014-01-01,2019-01-01,MAPE,GOOG,1.4781159438007923
LSTM,2014-06-01,2019-06-01,RMSE,GOOG,21.829055724683815
LSTM,2014-06-01,2019-06-01,MAPE,GOOG,1.5302267006617518
LSTM,2010-06-01,2015-06-01,RMSE,MSFT,0.9102826174604988
LSTM,2010-06-01,2015-06-01,MAPE,MSFT,1.0055746237545398
LSTM,2011-01-01,2016-01-01,RMSE,MSFT,0.6950371603930132
LSTM,2011-01-01,2016-01-01,MAPE,MSFT,1.1975417616405872
LSTM,2011-06-01,2016-06-01,RMSE,MSFT,0.5667066499968998
LSTM,2011-06-01,2016-06-01,MAPE,MSFT,1.0046887841071868
LSTM,2012-01-01,2017-01-01,RMSE,MSFT,0.7305335307920907
LSTM,2012-01-01,2017-01-01,MAPE,MSFT,1.452145557114511
LSTM,2012-06-01,2017-06-01,RMSE,MSFT,1.2283838552664856
LSTM,2012-06-01,2017-06-01,MAPE,MSFT,1.3612474622625568
LSTM,2013-01-01,2018-01-01,RMSE,MSFT,1.7271247248386759
LSTM,2013-01-01,2018-01-01,MAPE,MSFT,1.0060035113691774
LSTM,2013-06-01,2018-06-01,RMSE,MSFT,1.653655523220566
LSTM,2013-06-01,2018-06-01,MAPE,MSFT,1.0022945741609048
LSTM,2014-01-01,2019-01-01,RMSE,MSFT,1.5280850325544628
LSTM,2014-01-01,2019-01-01,MAPE,MSFT,1.0377635929502373
LSTM,2014-06-01,2019-06-01,RMSE,MSFT,2.6785073561077644
LSTM,2014-06-01,2019-06-01,MAPE,MSFT,34.48810466213271
